,content,score,thumbsUpCount,reviewCreatedVersion,at,kota,clean_content,sentiment_score,sentiment
680,"Aneh banget login sama daftar ga ada bedanya, mau login tapi email sudah terdaftar terus stuck ga bisa lanjut, kalau sudah terdaftar ya lanjut kalau email terdaftar tapi beda nomor ya gimana kek jangan kaku disitu dong",1,1,4.99.1,2024-10-28 06:08:09,Jakarta Utara,aneh banget login daftar beda login email daftar stuck daftar ya email daftar beda nomor ya kaku situ,13,positive
681,"Pesan via apl.Gojek semua kendaraannya bagus, bersih tiap naik kendaraan ACnya berfungsi dgn baik, nga kaya apl.yg lain terkadang AC nya dimatikan parah panaaas pool kita didlm mobil bak sauna, di Gojek drivernya juga baik2, sukses terus transportasi Gojek",5,0,4.99.1,2024-10-28 05:53:52,Jakarta Barat,pesan via aplgojek kendara bagus bersih kendara acnya fungsi nga kaya aplyg terkadang ac nya mati parah panaaas pool didlm mobil bak sauna gojek drivernya sukses transportasi gojek,12,positive
682,Praktis,5,0,4.96.2,2024-10-28 05:52:47,Jakarta Selatan,praktis,4,positive
683,Sat set das des,5,0,Unknown,2024-10-28 05:47:29,Jakarta Pusat,set das des,0,neutral
684,Cepat on time,5,0,4.97.1,2024-10-28 05:45:19,Jakarta Timur,cepat on,3,positive
685,parah ya ni aplikasi beda sm gr4b. kdg tiba-tiba suka lgsg klik order sndiri. pdl masih milih voucher. jadi order kena harga mahal.,1,0,4.89.1,2024-10-28 05:39:19,Jakarta Utara,parah ya ni aplikasi beda grb terkadang tibatiba suka langsung klik order pdl milih voucher order kena harga mahal,4,positive
686,Ngasih diskon promo harus daftar pinjol SESAT,1,0,4.89.1,2024-10-28 05:34:54,Jakarta Utara,diskon promo daftar pinjol sesat,2,positive
687,Bagus,4,0,4.99.1,2024-10-28 05:31:30,Jakarta Pusat,bagus,2,positive
688,"Mantap banget, makin banyakin promonya yaa.. thank u 🥰",5,0,4.99.1,2024-10-28 05:27:45,Jakarta Selatan,mantap banget banyakin promonya yaa thank,10,positive
689,top lah ini nama nya,5,0,4.96.2,2024-10-28 05:09:13,Jakarta Barat,top nama nya,5,positive
690,Sampai sekarang masih mantap,4,0,4.98.1,2024-10-28 05:00:33,Jakarta Pusat,mantap,5,positive
691,good Job,5,0,4.99.1,2024-10-28 04:55:16,Jakarta Utara,good job,5,positive
692,Sangat membantu,5,0,4.98.1,2024-10-28 04:47:45,Jakarta Barat,bantu,3,positive
693,"Semoga semakin lancar usaha, sukses selalu, dalam upaya mengupdate sistem untuk memudahkan customer agar supaya lebih efektif dan efisien. Terima kasih banyak.",5,0,5.0.0,2024-10-28 04:39:59,Jakarta Barat,moga lancar usaha sukses upaya mengupdate sistem mudah customer efektif efisien terima kasih,23,positive
694,Pelayanannya gojek semakin buruk banget,1,0,4.93.1,2024-10-28 04:34:25,Jakarta Utara,layan gojek buruk banget,-2,negative
695,Kok GK bisa update sih apk ny,5,0,5.0.0,2024-10-28 04:17:18,Jakarta Timur,update sih apk ny,0,neutral
696,Oke,4,0,4.98.1,2024-10-28 04:14:54,Jakarta Barat,oke,2,positive
697,Bagus,5,0,4.98.1,2024-10-28 04:12:04,Jakarta Barat,bagus,2,positive
698,Memudahkan bgttt,5,0,Unknown,2024-10-28 04:04:10,Jakarta Barat,mudah bgttt,4,positive
699,Aplikasinya sudah semakin bagus,2,0,4.99.1,2024-10-28 04:00:49,Jakarta Timur,aplikasi bagus,-2,negative
700,saya pelanggan setia gojek dan jujur gojek sangat membantu... tp knp gopaylater saya skr diblokir udah 1 bulan... padahal ga pernah telat bayar..,2,0,Unknown,2024-10-28 03:59:48,Jakarta Pusat,langgan setia gojek jujur gojek bantu gopaylater skr blokir telat bayar,-2,negative
701,"Setelah sekian lama , gojek sekarang lbh baik.",5,0,4.93.1,2024-10-28 03:54:34,Jakarta Utara,sekian gojek,0,neutral
702,Mantap,5,0,Unknown,2024-10-28 03:53:58,Jakarta Pusat,mantap,5,positive
703,Sy driver...merasa Miris kalo antar segelas kopi seharga 25rb...tetapi driver cuman dapat Rp.8800😭 sedangkan customer bayar ongkir Rp.18.000 Terapkan potongan komisi argo 15% jek...kenapa potongan lebih dari 50% ...lihat ke jalan...mitra mu sudah banyak kesulitan untuk memenuhi kebutuhan sehari2...jangankan buat merawat kendaraan....buat makan aj pas pas an.... Driver adalah manusia maka manusiakan drivermu dengan argo yg manusiawi....,3,0,4.97.1,2024-10-28 03:44:30,Jakarta Utara,drivermerasa miris gelas kopi harga rbtetapi driver rupiah customer bayar ongkir rupiah terap potong komisi argo jekkenapa potong lihat jalanmitra mu sulit penuh butuh seharijangankan rawat kendaraanbuat makan pas pas an driver manusia manusia drivermu argo manusiawi,13,positive
704,Good,5,0,4.99.1,2024-10-28 03:43:11,Jakarta Barat,good,5,positive
705,😘,5,0,4.98.1,2024-10-28 03:28:22,Jakarta Barat,,0,neutral
706,Mantap,5,0,4.99.1,2024-10-28 03:17:56,Jakarta Barat,mantap,5,positive
707,Memilih rute yg cepat,5,0,4.99.1,2024-10-28 03:09:31,Jakarta Timur,pilih rute cepat,3,positive
708,Best,5,0,4.92.1,2024-10-28 03:05:05,Jakarta Barat,best,0,neutral
709,Ok,5,0,4.99.1,2024-10-28 03:04:42,Jakarta Timur,ok,4,positive
710,"Pokoke membantu ketika dlm kesulitan pengiriman barang, kelaparan dan lainnya.",5,0,Unknown,2024-10-28 03:02:12,Jakarta Pusat,pokok bantu sulit kirim barang lapar,3,positive
711,"Min, tolong beri teguran kepada driver yang suka cancel orderan customer (tanpa pemberitahuan terlebih dahulu). Pengalaman kemarin 3x order dan semuanya di terima sama driver tiba-tiba cancel sepihak. Kalau memang tidak sesuai ya tidak perlu di terima",5,0,Unknown,2024-10-28 03:00:33,Jakarta Utara,min tolong tegur driver suka cancel order customer pemberitahuan alam kemarin x order terima driver tibatiba cancel sesuai ya terima,18,positive
712,Good,5,0,Unknown,2024-10-28 02:56:06,Jakarta Barat,good,5,positive
713,Ok ok ok,5,0,5.0.0,2024-10-28 02:53:49,Jakarta Utara,ok ok ok,12,positive
714,Good,5,0,5.0.0,2024-10-28 02:41:20,Jakarta Selatan,good,5,positive
715,Professional dan berpengalaman,5,0,Unknown,2024-10-28 02:27:45,Jakarta Utara,professional alam,2,positive
716,"Saranku mendingan promo gojek hemat di hilangkan aja, gak guna ada promo itu. Asal di pakai promo hemat dpt gocar nya susah, sudah dpt malah di cansel, terus drivernya bilang ""Makai hemat ya"" langsung di cansel, agak gimana gitu bacanya masa driver bilang gitu . Aduh kalau gak mau di pakai promonya mendingan hilangkan aja, baru kali ini kecewa terhadap gojek",1,0,Unknown,2024-10-28 02:26:13,Jakarta Selatan,saran mending promo gojek hemat hilang promo pakai promo hemat gocar nya susah cansel drivernya bilang pakai hemat ya langsung cansel baca driver bilang aduh pakai promonya mending hilang kali kecewa gojek,41,positive
717,mantab,5,0,4.98.1,2024-10-28 02:21:04,Jakarta Timur,mantap,5,positive
718,Banyak promo menarik,5,0,Unknown,2024-10-28 02:18:17,Jakarta Utara,promo tarik,5,positive
719,Ikan lumu,1,0,Unknown,2024-10-28 02:12:55,Jakarta Utara,ikan lumu,0,neutral
720,Apk sangat membantu banyak pengguna,5,0,4.98.1,2024-10-28 02:11:12,Jakarta Utara,apk bantu guna,4,positive
721,"GOPAY SELALU NO.1, MENGATASI SEGALA KEPERLUAN KAMI SEKELUARGA, BAIK DARI KEUANGAN, KEPERLUAN HIDUP SEHARI-HARI, SAMPAI TRANSPORTASI.. GOPAY IS THE BEST LAH POKOKNYA..",5,0,5.0.0,2024-10-28 02:07:01,Jakarta Barat,gopay nomor atas perlu keluarga uang perlu hidup seharihari transportasi gopay is the best pokok,9,positive
722,Alhamdulillah Sesuai Harapan dan sangat membantu dalam kebutuhan keluarga terimakasih Gojek,5,0,4.74.2,2024-10-28 02:03:58,Jakarta Timur,alhamdulillah sesuai harap bantu butuh keluarga terimakasih gojek,18,positive
723,"Cepat ,tdk nunggu",5,0,4.99.1,2024-10-28 01:47:10,Jakarta Selatan,cepat nunggu,4,positive
724,oke,5,0,Unknown,2024-10-28 01:40:12,Jakarta Utara,oke,2,positive
725,Bagus membantu sekali,5,0,Unknown,2024-10-28 01:35:18,Jakarta Selatan,bagus bantu,5,positive
726,Maaantaaap,5,0,4.98.1,2024-10-28 01:11:41,Jakarta Selatan,maaantaaap,0,neutral
727,Bagus menyenangkan,5,0,4.97.1,2024-10-28 01:01:06,Jakarta Selatan,bagus senang,7,positive
728,Cepat,5,0,4.99.1,2024-10-28 00:55:48,Jakarta Selatan,cepat,3,positive
729,Bagus,5,0,4.94.2,2024-10-28 00:34:20,Jakarta Utara,bagus,2,positive
730,app tai,1,0,Unknown,2024-10-28 00:27:22,Jakarta Utara,app tai,-5,negative
731,Kurang promo aja lagi,5,0,4.99.1,2024-10-28 00:23:47,Jakarta Selatan,promo,3,positive
732,"Heh, tolong ya, saya entah kenapa selalu koneksi hilang koneksi hilang. Padahal jaringan saya aman saja (saya coba buka sosmed lain). Anehh, truss apa guna nya gojek kalau ga bisa gercep. Saya jadi terlambat kuliah gara gara eror gitu 😒",1,1,4.96.2,2024-10-28 00:15:47,Jakarta Pusat,heh tolong ya koneksi hilang koneksi hilang jaring aman coba buka sosmed anehh truss nya gojek gercep lambat kuliah gara gara eror,15,positive
733,ok,5,0,4.96.2,2024-10-28 00:09:51,Jakarta Selatan,ok,4,positive
734,gojek 😍😍,5,0,Unknown,2024-10-28 00:03:30,Jakarta Barat,gojek,0,neutral
735,Setelah beli go food plus gak pernah dikasih voucher lagi skrng dan vouchernya juga berkurang tidak sebanyak dulu lagi,3,0,Unknown,2024-10-27 23:54:51,Jakarta Selatan,beli go food plus kasih voucher vouchernya kurang,6,positive
736,"sering mendapatkan driver yang lokasinya terlalu jauh, driver sering minta dicancel. Hari ini saya 5 kali cancel orderan karena lokasi driver sangat jauh dari titik jemput.",1,0,4.98.1,2024-10-27 23:41:12,Jakarta Timur,driver lokasi driver dicancel kali cancel order lokasi driver titik jemput,-3,negative
737,Nice,5,0,4.93.1,2024-10-27 23:28:08,Jakarta Barat,nice,4,positive
738,Tepat waktu jmpt dan murah banyak diskon nya,5,0,Unknown,2024-10-27 23:26:19,Jakarta Utara,jemput murah diskon nya,5,positive
739,Ok,5,0,4.99.1,2024-10-27 23:25:38,Jakarta Pusat,ok,4,positive
740,Lumayan membantu...,4,1,4.99.1,2024-10-27 23:23:42,Jakarta Barat,lumayan bantu,4,positive
741,Quick action,5,0,4.91.1,2024-10-27 23:20:59,Jakarta Barat,quick aksi,2,positive
742,"Saya sangat kecewa, krn untuk klaim vocer nya susah, harus menunggu setiap minggu jam 00.00wib baru bisa klaim vocer, lewat 5 menit aja uda nggak bisa lg",3,0,4.99.1,2024-10-27 23:10:04,Jakarta Barat,kecewa klaim vocer nya susah tunggu minggu jam wib klaim vocer menit,-2,negative
743,"Good aplikasi dan para drivernya ramah""",5,0,Unknown,2024-10-27 23:04:00,Jakarta Timur,good aplikasi drivernya ramah,6,positive
744,Kikuk,5,0,Unknown,2024-10-27 23:02:47,Jakarta Pusat,kikuk,0,neutral
745,rute yang dilalui tepat dan driver bersikap baik.,5,0,4.93.1,2024-10-27 22:46:34,Jakarta Selatan,rute driver sikap,4,positive
746,Kasih nilai ✌️,5,0,4.99.1,2024-10-27 22:26:58,Jakarta Barat,kasih nilai,7,positive
747,Baik,5,0,Unknown,2024-10-27 22:12:39,Jakarta Utara,,0,neutral
748,"Yee mau masuk ke akun lama malah ditolak di verifikasi wajah,berasa diejek aplikasi 🫠",2,0,4.99.1,2024-10-27 21:22:32,Jakarta Selatan,yee masuk akun tolak verifikasi wajahberasa ejek aplikasi,-15,negative
749,👍👍,5,0,5.0.0,2024-10-27 20:27:02,Jakarta Utara,,0,neutral
750,ok,5,0,4.98.1,2024-10-27 20:12:24,Jakarta Utara,ok,4,positive
751,Baik,5,0,Unknown,2024-10-27 19:34:49,Jakarta Utara,,0,neutral
752,Memuaskan pelayanan driver,5,0,4.99.1,2024-10-27 18:38:36,Jakarta Utara,muas layan driver,7,positive
753,"sya kasih 5 bintang🤩 aplikasi gojek banyak membantu sya,banyak promo grtis dan lebih gampang untuk hidup di era sekarang. GOOD JOB🤝🤝👍👍",5,0,4.99.1,2024-10-27 18:25:52,Jakarta Pusat,kasih bintang aplikasi gojek bantu syabanyak promo grtis gampang hidup era good job,15,positive
754,sangat membantu,5,0,4.99.1,2024-10-27 18:06:16,Jakarta Timur,bantu,3,positive
755,Ok,5,0,4.99.1,2024-10-27 17:38:49,Jakarta Selatan,ok,4,positive
756,good,5,0,4.99.1,2024-10-27 17:32:38,Jakarta Pusat,good,5,positive
757,Sangat membantu,5,0,4.98.1,2024-10-27 17:26:57,Jakarta Barat,bantu,3,positive
758,"eror terus, voucher dikit (ada pun harus war) dan pas jam 12 malem juga ga dpt, loading lama, aneh bikin badmood, m for males, ongkir makin mahallllll, memberi dislike 100, kentut kuda, eror mulu buset bikin telat 😨😨👎🏻👎🏻 padahal udh gunain 3tahunan tp makin lama makin gajelas kentut",1,0,Unknown,2024-10-27 17:26:53,Jakarta Barat,eror voucher war pas jam malam loading aneh bikin badmood m malas ongkir mahallllll dislike kentut kuda eror mulu buset bikin telat gunain tahun kentut,-14,negative
759,"Sekarang aku gua kaga bisa claim promo lagi, apa maksudnya coba hadeh, apk udah mulai anehh!!! Uninstal aja yuu",1,0,4.99.1,2024-10-27 17:14:43,Jakarta Timur,claim promo maksud coba hadeh apk anehh uninstal yuu,1,positive
760,Bad,1,1,4.99.1,2024-10-27 17:10:25,Jakarta Pusat,bad,-4,negative
761,TOP,5,0,4.99.1,2024-10-27 16:54:30,Jakarta Selatan,top,5,positive
762,Lama doanlod nya,5,0,Unknown,2024-10-27 16:50:45,Jakarta Pusat,doanlod nya,0,neutral
763,Terimakasih,5,0,4.99.1,2024-10-27 16:48:43,Jakarta Utara,terimakasih,5,positive
764,Selama ini puas² aja . Sama pelayanan nya,4,0,Unknown,2024-10-27 16:37:36,Jakarta Barat,puas layan nya,5,positive
765,"Aku suka pakai jasa gojek,karena mudah di dapat dan kebanyakan mereka ramah""",5,0,4.99.1,2024-10-27 16:12:26,Jakarta Utara,suka pakai jasa gojekkarena mudah banyak ramah,19,positive
766,"Mantap pokony,, bantu banget",5,0,4.97.1,2024-10-27 16:06:06,Jakarta Selatan,mantap pokony bantu banget,9,positive
767,Cobalah yg gojek gausah rokok kalau bawa penumpang,1,0,4.83.1,2024-10-27 16:05:27,Jakarta Utara,coba gojek rokok bawa tumpang,0,neutral
768,"Sayangnya, pengalaman saya dengan aplikasi GO-JEK sangat mengecewakan. Pelayanan pelanggan yang buruk dan sering kali tidak responsif membuat saya merasa sangat frustrasi. Saya berharap manajemen bisa lebih memperhatikan kualitas layanan agar dapat memberikan pengalaman yang lebih baik ke depannya.",1,0,4.99.1,2024-10-27 16:05:25,Jakarta Utara,sayang alam aplikasi gojek kecewa layan langgan buruk kali responsif frustrasi harap manajemen perhati kualitas layan alam depan,11,positive
769,Good,5,0,4.99.1,2024-10-27 15:40:37,Jakarta Utara,good,5,positive
770,Nyari driver aja lama banget. Masih nunggu proses masak. Keduluan lapar. Masih bagus aplikasi sebelah yang sekali pesan langsung dapat driver. Bukan lokasi jarang driver atau jam sibuk. Tapi jam sepi dan di jam banyak driver pun sama. Sekali klik pesan disuruh nunggu nyari driver. Padahal driver banyak. Kebijakan yang tidak bijak.,1,0,Unknown,2024-10-27 15:39:29,Jakarta Barat,nyari driver banget nunggu proses masak keduluan lapar bagus aplikasi belah pesan langsung driver lokasi jarang driver jam sibuk jam sepi jam driver klik pesan suruh nunggu nyari driver driver bijak bijak,2,positive
771,terima kasih ..,5,0,4.99.1,2024-10-27 15:35:20,Jakarta Barat,terima kasih,4,positive
772,Malam ini jam 22.27 semarang. Saya pesan gojek ditolak terus. Mau kerja gak sih,1,0,Unknown,2024-10-27 15:28:21,Jakarta Barat,malam jam semarang pesan gojek tolak kerja sih,-1,negative
773,Sangat membantu,5,0,Unknown,2024-10-27 15:28:05,Jakarta Utara,bantu,3,positive
774,"Gaa recomended, selalu aja di cancel sama driver gojek nya... Kalau emang ga mau nganter ga usah di terima orderan customer... Udah berkali kali pesan dari app gojek tapi selalu aja ga di terima sama driver... Mending pakai app sebelah... Kecewa dengan gojek 👎👎👎👎💔",1,0,4.98.1,2024-10-27 15:04:42,Jakarta Timur,gaa recomended cancel driver gojek nya emang antar terima order customer kali kali pesan app gojek terima driver mending pakai app belah kecewa gojek,3,positive
775,sat set,5,0,4.99.1,2024-10-27 15:02:08,Jakarta Pusat,set,0,neutral
776,"Mohon untuk pelayanan gojek agar lebih memperhatikan inventaris pengemudi gojek motor seperti Helem yang safty, masa helem talinya sudah kendor gabus/busanya gak ada ,dikasih penumpang sampe helemnya mau terbang kalo pas ada angin kenceng",4,0,4.96.2,2024-10-27 14:46:16,Jakarta Utara,mohon layan gojek perhati inventaris kemudi gojek motor hem safty hem tali kendor gabusbusanya kasih tumpang hem terbang pas angin cepat,15,positive
777,Good,5,0,4.99.1,2024-10-27 14:35:58,Jakarta Pusat,good,5,positive
778,"Sering terjadi double orderan di gocar padahal cuman order sekali, yg datang bisa 2 sampai 3 driver, tolong dibenahi lagi, kasihan driver nya, Di grab tidak pernah terjadi seperti ini, hanya go car saja yang sering terjadi seperti ini.",1,4,4.99.1,2024-10-27 14:33:45,Jakarta Utara,double order gocar order driver tolong benah kasihan driver nya grab go car,7,positive
779,Jelek,5,0,Unknown,2024-10-27 14:14:52,Jakarta Timur,jelek,-5,negative
780,Sangat membantu,5,0,4.99.1,2024-10-27 14:06:22,Jakarta Barat,bantu,3,positive
781,good bangetttt,5,0,5.0.0,2024-10-27 14:05:29,Jakarta Pusat,good bangetttt,5,positive
782,Bagus 👍👍 di tingkatkan teruss,5,0,4.99.1,2024-10-27 13:56:24,Jakarta Barat,bagus tingkat teruss,3,positive
783,Mantab,5,0,4.99.1,2024-10-27 13:51:15,Jakarta Utara,mantap,5,positive
784,"Ga jelas loh sekarang apk gojek ini,,lama banget dapat driver gofood,, kadang malah ga dapat sma sekali ,,",1,0,4.98.1,2024-10-27 13:44:44,Jakarta Selatan,loh apk gojek inilama banget driver gofood kadang sma,4,positive
785,"Aplikasi anak bangsa, cocok utk semua kalangan.",5,0,4.99.1,2024-10-27 13:44:12,Jakarta Utara,aplikasi anak bangsa cocok kalang,-3,negative
786,Keren lah.....,5,0,4.98.1,2024-10-27 13:35:41,Jakarta Timur,keren,0,neutral
787,Stabilitas app nya sekarang bagus banget,5,0,4.99.1,2024-10-27 13:30:16,Jakarta Timur,stabilitas app nya bagus banget,7,positive
788,Sangat puas pertama kali pakai gojek next order lg,5,0,4.99.1,2024-10-27 13:19:23,Jakarta Selatan,puas kali pakai gojek next order,1,positive
789,"Terlalu bertele-tele dalam menerima laporan customer dan sangat tidak membantu, terlalu birokrasi.",2,0,4.99.1,2024-10-27 13:18:18,Jakarta Pusat,berteletele terima lapor customer bantu birokrasi,7,positive
790,"pesanan nya cepat,tx's",5,0,4.93.1,2024-10-27 13:17:30,Jakarta Timur,pesan nya cepattxs,2,positive
791,Sangat membantu,5,0,Unknown,2024-10-27 13:15:20,Jakarta Pusat,bantu,3,positive
792,Mantap,5,0,4.99.1,2024-10-27 13:13:07,Jakarta Barat,mantap,5,positive
793,Goblog gua mau bayar paylater gak bisa malah suruh update,3,0,5.0.0,2024-10-27 13:12:38,Jakarta Pusat,goblog bayar paylater suruh update,-1,negative
794,Good dehhhhh,5,0,4.97.1,2024-10-27 13:10:03,Jakarta Pusat,good dehhhhh,5,positive
795,"pesan makanan kuah, nunggu nya 1.5 jam karena driver double order.. pesanan reguler dah kek sama hemat.. parahh",1,0,4.91.1,2024-10-27 13:08:35,Jakarta Pusat,pesan makan kuah nunggu nya jam driver double order pesan reguler hemat parahh,10,positive
796,"Bagus, sangat membantu",5,0,4.99.1,2024-10-27 13:07:07,Jakarta Utara,bagus bantu,5,positive
797,Top margotop,5,0,Unknown,2024-10-27 13:05:00,Jakarta Barat,top margotop,5,positive
798,Keren sih,5,0,4.99.1,2024-10-27 13:04:51,Jakarta Utara,keren sih,0,neutral
799,Oke,4,0,Unknown,2024-10-27 13:04:50,Jakarta Timur,oke,2,positive
800,Ini drivernya apa bisa semacam matiin paket data trus kalau uda deket dia hidupin lg sehingga gabisa ke track gitu kah sampe mana sampe mananya?,4,1,4.99.1,2024-10-27 12:59:31,Jakarta Pusat,drivernya mati paket data hidupin track kah mana,5,positive
801,Aplikasi apalah menu pilihan suka ga ada gambarnya padahal sinyal sya bagus,3,0,4.99.1,2024-10-27 12:59:05,Jakarta Selatan,aplikasi apa menu pilih suka gambar sinyal bagus,-2,negative
802,semakin baikdn cepat,5,0,4.99.1,2024-10-27 12:57:33,Jakarta Pusat,baikdn cepat,3,positive
803,Nice,5,0,4.92.1,2024-10-27 12:56:08,Jakarta Utara,nice,4,positive
804,Makasih gojek,5,0,4.99.1,2024-10-27 12:49:04,Jakarta Timur,terimakasih gojek,5,positive
805,"Saya hanya bisa memberikan 4 bintang,saya sudah cancel driver tidak tercancle, mohon di benahi agar tidak merugikan konsumen dan driver, terimakasih",4,0,4.86.2,2024-10-27 12:40:40,Jakarta Pusat,bintangsaya cancel driver tercancle mohon benah rugi konsumen driver terimakasih,2,positive
806,Mudah sekali menggunakanya dan banyak promo,5,0,4.99.1,2024-10-27 12:32:47,Jakarta Pusat,mudah menggunakanya promo,7,positive
807,semoga semakin baik lagi apalagi tambah banyak promo nya ...thx gojek,5,0,Unknown,2024-10-27 12:32:28,Jakarta Pusat,moga promo nya terimakasih gojek,9,positive
808,Sangat bermanfaat,5,0,4.99.1,2024-10-27 12:16:14,Jakarta Selatan,manfaat,5,positive
809,"Tiap order gofood pasti statusnya resto sedang nyiapin pesanan kurleb 25-40menit, katanya klo pesanan udah hampir jadi baru nyari driver, masalahnya hampir semua resto baru mulai masak pas drivernya nyampe padahal juga lagi sepi, jadi kita disuruh kelaperan sambil nunggu setengah jam lebih, driver juga kasian masih harus nunggu lama buat pesenan jadi, tolong regulasinya diperketat lagi karna yg dirugikan customer sama driver",3,0,4.99.1,2024-10-27 12:15:51,Jakarta Timur,order gofood status resto nyiapin pesan kurleb menit pesan nyari driver resto masak pas drivernya sepi suruh lapar nunggu jam driver kasihan nunggu pesan tolong regulasi ketat rugi customer driver,0,neutral
810,"voucher harus pakek gopay, kalau cash ga ada",3,0,4.98.1,2024-10-27 12:11:55,Jakarta Barat,voucher pakai gopay cash,5,positive
811,Mau bayar paylater gabisa. aplikasinya minta di update terus. padahal udah ke update. tapi masih minta update. apa harus bgini biar bayar denda seolah olah telat bayar. gimana sih aplikasinya. gajelas,1,0,Unknown,2024-10-27 12:07:08,Jakarta Barat,bayar paylater aplikasi update update update bgini biar bayar denda olah telat bayar sih aplikasi,-6,negative
812,Cukup ok,4,0,4.89.1,2024-10-27 12:02:13,Jakarta Timur,ok,4,positive
813,"kalau driver ga gerak"" di hukum aja langsung, saya sering di kerjain driver nunggu sampe 30 menit, di hubungi ga bisa, mau saya cancle kasian, akhir nya saya telat masuk kerja",1,0,Unknown,2024-10-27 11:58:05,Jakarta Utara,driver gerak hukum langsung kerja driver nunggu menit hubung cancle kasihan nya telat masuk kerja,8,positive
814,Gojek comfort emg yahuutt....,5,0,Unknown,2024-10-27 11:46:12,Jakarta Pusat,gojek comfort emang yahuutt,0,neutral
815,MANTAPPPP POKOKNYA SEMUA FITURNYA SANGAT MANTAPPPP,4,0,4.99.1,2024-10-27 11:45:39,Jakarta Barat,mantapppp pokok fiturnya mantapppp,3,positive
816,Bagus... Tingkatkan dan semoga kedepannya supir go car atau gojek nya bisa lebih ramah,5,0,4.96.2,2024-10-27 11:41:31,Jakarta Utara,bagus tingkat moga depan supir go car gojek nya ramah,9,positive
817,pelayanan sangat baik,5,0,4.98.1,2024-10-27 11:16:26,Jakarta Timur,layan,2,positive
818,Sangat memuaskan sekali,5,0,4.96.2,2024-10-27 11:15:53,Jakarta Pusat,muas,5,positive
819,"Gofood suka salah alamat nya jauh banget, bikin rrpot driver nya sama saya pribadi Mau ga mau harus kasih tips lebih ke driver nya karna salah alamat nya kauh dari lokasi sebenarnya KACAU",1,0,4.94.2,2024-10-27 11:11:52,Jakarta Selatan,gofood suka salah alamat nya banget bikin rrpot driver nya pribadi kasih tips driver nya salah alamat nya kauh lokasi kacau,2,positive
820,sangat membantu,5,0,4.99.1,2024-10-27 11:10:33,Jakarta Selatan,bantu,3,positive
821,"Sebelum topup ada diskon, setelah topup gopay, tiba2 diskonnya ilang, 😏",1,0,5.0.0,2024-10-27 11:10:29,Jakarta Selatan,topup diskon topup gopay diskon hilang,7,positive
822,Ok terimakasih atas jasa-jasa Kami segenap bangsa Indonesia mengucapkan sukseskan Indonesian hidup Prabowo,5,0,4.99.1,2024-10-27 11:06:22,Jakarta Utara,ok terimakasih jasajasa segenap bangsa indonesia sukses indonesian hidup prabowo,16,positive
823,"Tolong pihak aplikasi,untuk membenahi insentif driver,balikan seperti dahulu,kasihan mereka tidak ada insentif walaupun dihilangkan insentif nya tapi jangan kamu kenakan pajak buat mereka",5,0,Unknown,2024-10-27 11:00:18,Jakarta Timur,tolong aplikasiuntuk benah insentif driverbalikan dahulukasihan insentif hilang insentif nya kena pajak,9,positive
824,top markotop 😊😊😊😊😊😊,5,0,4.99.1,2024-10-27 10:39:20,Jakarta Selatan,top markotop,5,positive
825,Good,5,0,4.99.1,2024-10-27 10:17:43,Jakarta Selatan,good,5,positive
826,"Pesan gomart barang tidak sesuai, beli nya apa datengnya apa, Uda lapor cs komplain di tolak... Kocak2",1,0,4.99.1,2024-10-27 10:13:41,Jakarta Selatan,pesan gomart barang sesuai beli nya datengnya lapor cs komplain tolak kocak,3,positive
827,Uh aplikasi bagus banget,5,0,5.0.0,2024-10-27 09:56:42,Jakarta Timur,uh aplikasi bagus banget,-1,negative
828,Sangat aman dan dapat dipercaya,5,0,4.98.1,2024-10-27 09:54:21,Jakarta Utara,aman percaya,2,positive
829,"Sy kecewa bngettt sma gojek ,sy pengguna lama udh 3 thun lebih hri ini udah ku hps aplikasi nya ,setiap gofood dengan byr tunai driver selalu ga bawa kembalian terpksa sy iklaskan bukan 1 ,2 x tpi sering males pke gojek sekarang beralih greb saja",1,0,4.78.3,2024-10-27 09:52:47,Jakarta Utara,kecewa bngettt sma gojek guna thun ku hps aplikasi nya gofood bayar tunai driver bawa kembali terpksa iklaskan x malas pakai gojek alih greb,-2,negative
830,Ngk guna aplikasi ini ..iklan di hp gua,1,0,Unknown,2024-10-27 09:27:46,Jakarta Pusat,aplikasi iklan hp,-4,negative
831,Sangat cepat respon,5,0,4.99.1,2024-10-27 09:23:13,Jakarta Selatan,cepat respon,5,positive
832,mantul pisan,5,4,4.98.1,2024-10-27 09:17:43,Jakarta Timur,mantul,0,neutral
833,tolong la klo mau mesen jgn d ksi driver yg jauh pls,3,0,4.99.1,2024-10-27 09:09:52,Jakarta Pusat,tolong la mesen d ksi driver pulsa,0,neutral
834,"Proses mencari driver terlalu lama, mana nggk bisa stop pencarian",2,0,4.99.1,2024-10-27 09:09:20,Jakarta Pusat,proses cari driver stop cari,-2,negative
835,"CINTAILAH PRODUK""INDONESIA🔥",5,0,4.89.1,2024-10-27 09:01:29,Jakarta Barat,cinta produkindonesia,3,positive
836,Memudahkan dalam beraktifitas dan bertransaksi,5,0,5.0.0,2024-10-27 08:47:34,Jakarta Barat,mudah aktivitas transaksi,8,positive
